date, pm25, pm10, o3, no2, so2, co
2019/10/22, 62, 29, 23, 17, 1, 5
2019/10/23, 60, 21, 34, 10, , 2
2019/10/24, 46, 25, 26, 13, , 2
2019/10/25, 58, 39, 60, 22, 1, 3
2019/10/26, 86, 25, 38, 10, 1, 2
2019/10/27, 60, 27, 46, 10, 1, 2
2019/10/28, 55, 23, 41, 17, 1, 2
2019/10/29, 47, 30, 39, 25, 1, 3
2019/10/30, 61, 29, 70, 18, 1, 3
2019/10/31, 64, 29, 35, 15, 1, 2
2019/11/1, 65, 23, 34, 10, , 2
2019/11/2, 61, 23, 38, 8, , 1
2019/11/3, 49, 29, 44, 9, , 2
2019/11/4, 65, 25, 41, 12, 1, 2
2019/11/5, 56, 15, 31, 16, , 2
2019/11/6, 44, 13, 22, 11, , 1
2019/11/7, 39, 20, 12, 17, , 2
2019/11/8, 43, 19, 17, 17, 1, 3
2019/11/9, 54, 11, 9, 10, , 1
2019/11/10, 33, 16, 28, 10, , 2
2019/11/11, 48, 15, 22, 11, , 2
2019/11/12, 44, 11, 16, 7, , 1
2019/11/13, 43, 22, 26, 12, 1, 2
2019/11/14, 47, 17, 20, 19, , 3
2019/11/15, 56, 14, 19, 10, , 1
2019/11/16, 49, 24, 25, 12, 2, 1
2019/11/17, 49, 19, 33, 6, 2, 1
2019/11/18, 43, 21, 18, 10, 1, 1
2019/11/19, 47, 22, 26, 12, 1, 1
2019/11/20, 48, 17, 27, 7, 1, 1
2019/11/21, 43, 23, 45, 13, 1, 2
2019/11/22, 53, 24, 35, 20, , 3
2019/11/23, 54, 18, 34, 10, , 1
2019/11/24, 41, 22, 22, 4, , 1
2019/11/25, 41, 21, 29, 9, 1, 1
2019/11/26, 43, 31, 47, 16, 1, 2
2019/11/27, 59, 31, 21, 20, , 3
2019/11/28, 53, 9, 16, 13, , 1
2019/11/29, 31, 29, 32, 11, 1, 1
2019/11/30, 51, 30, 62, 15, , 3
2019/12/1, 63, 16, 34, 8, , 2
2019/12/2, 42, 15, 19, 9, , 1
2019/12/3, 39, 26, 14, 11, 1, 1
2019/12/4, 48, 32, 37, 20, 1, 3
2019/12/5, 67, 19, 21, 18, , 4
2019/12/6, 52, 16, 27, 15, , 2
2019/12/7, 47, 19, 37, 11, 1, 1
2019/12/8, 43, 21, 47, 10, 1, 1
2019/12/9, 49, 27, 22, 21, , 3
2019/12/10, 55, 23, 12, 25, , 5
2019/12/11, 58, 26, 32, 28, , 5
2019/12/12, 66, 20, 24, 20, , 3
2019/12/13, 44, 23, 25, 16, , 3
